epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.326,1.46465,3.7143,1.82081,0.27094,0.30019,0.22547,0.10395,1.75769,2.98722,2.37356,0.0033287,0.0033287,0.0033287
2,367.077,1.5055,2.92516,1.8116,0.35899,0.36403,0.31066,0.15255,1.74248,2.44861,2.28429,0.00659608,0.00659608,0.00659608
3,537.313,1.5607,2.79192,1.86245,0.51637,0.14262,0.11936,0.03959,2.41697,3.39975,3.5158,0.00979746,0.00979746,0.00979746
4,696.52,1.59097,2.65621,1.8804,0.39337,0.39475,0.36304,0.17234,1.84347,2.38157,2.38892,0.009703,0.009703,0.009703
5,857.347,1.58131,2.50277,1.86099,0.47846,0.43563,0.41955,0.20439,1.85429,2.20734,2.37544,0.009604,0.009604,0.009604
6,1012.99,1.54555,2.34365,1.82529,0.56517,0.45849,0.49255,0.25468,1.74621,1.9801,2.24431,0.009505,0.009505,0.009505
7,1173.18,1.52971,2.22617,1.79968,0.5075,0.49529,0.47401,0.24923,1.75449,1.8962,2.25394,0.009406,0.009406,0.009406
8,1322.88,1.50117,2.13236,1.77861,0.60613,0.53433,0.55677,0.30063,1.69088,1.70581,2.15766,0.009307,0.009307,0.009307
9,1474.39,1.48947,2.06869,1.7645,0.59651,0.54138,0.5614,0.27915,1.78976,1.77719,2.30325,0.009208,0.009208,0.009208
10,1630.17,1.47609,1.98829,1.75759,0.62725,0.5607,0.58874,0.31586,1.71578,1.69743,2.20301,0.009109,0.009109,0.009109
11,1779.95,1.46163,1.96392,1.74208,0.64608,0.54726,0.58509,0.3175,1.67981,1.6699,2.15934,0.00901,0.00901,0.00901
12,1929.97,1.44995,1.90077,1.73288,0.67393,0.57342,0.6161,0.33899,1.63179,1.58969,2.11268,0.008911,0.008911,0.008911
13,2080.86,1.43323,1.84604,1.71764,0.68232,0.61116,0.64802,0.35569,1.64674,1.49021,2.09765,0.008812,0.008812,0.008812
14,2235.16,1.42027,1.81323,1.70292,0.73724,0.5943,0.65063,0.35617,1.63223,1.49816,2.09332,0.008713,0.008713,0.008713
15,2385.01,1.41655,1.78451,1.70187,0.73284,0.57937,0.63655,0.35459,1.60353,1.50423,2.07212,0.008614,0.008614,0.008614
16,2535.31,1.4072,1.7473,1.69724,0.72099,0.63227,0.67161,0.37823,1.59395,1.43094,2.06209,0.008515,0.008515,0.008515
17,2690.54,1.40333,1.73092,1.69838,0.72541,0.59593,0.65174,0.36327,1.61962,1.53484,2.0851,0.008416,0.008416,0.008416
18,2838.28,1.38674,1.69018,1.67842,0.74293,0.61101,0.67593,0.38009,1.57873,1.38878,2.03519,0.008317,0.008317,0.008317
