epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2021,1.4676,3.72405,1.82365,0.2783,0.34205,0.27125,0.12556,1.80131,2.66052,2.39239,0.0033287,0.0033287,0.0033287
2,127.026,1.50332,2.94373,1.82466,0.41804,0.41334,0.37384,0.18763,1.68816,2.22652,2.22556,0.00659608,0.00659608,0.00659608
3,186.658,1.56424,2.80584,1.86598,0.35518,0.28612,0.23478,0.10008,1.98415,2.83562,2.63732,0.00979746,0.00979746,0.00979746
4,245.879,1.59491,2.66466,1.88315,0.41681,0.38105,0.36766,0.17666,1.82807,2.37667,2.38026,0.009703,0.009703,0.009703
5,305,1.58055,2.50265,1.86159,0.4646,0.4575,0.42861,0.2192,1.77051,2.13703,2.28625,0.009604,0.009604,0.009604
6,364.174,1.54533,2.35005,1.83212,0.57734,0.46773,0.48461,0.24891,1.75858,2.02147,2.26805,0.009505,0.009505,0.009505
7,423.406,1.52384,2.22513,1.79969,0.52957,0.47877,0.47457,0.24495,1.74828,1.99211,2.28297,0.009406,0.009406,0.009406
8,482.439,1.49201,2.13749,1.77664,0.58523,0.54836,0.56448,0.29735,1.71589,1.76241,2.20541,0.009307,0.009307,0.009307
9,541.44,1.4904,2.06424,1.76548,0.61004,0.51905,0.55534,0.28487,1.74801,1.7748,2.24358,0.009208,0.009208,0.009208
10,600.433,1.47079,2.0018,1.75466,0.66807,0.56088,0.59887,0.32014,1.68777,1.65131,2.16604,0.009109,0.009109,0.009109
11,659.607,1.4613,1.96231,1.74174,0.6413,0.55871,0.60027,0.32438,1.67783,1.62588,2.16321,0.00901,0.00901,0.00901
12,718.6,1.44835,1.90915,1.7355,0.65575,0.60246,0.64265,0.34739,1.64374,1.52277,2.13746,0.008911,0.008911,0.008911
13,777.663,1.4352,1.84577,1.71957,0.7174,0.60702,0.65251,0.35334,1.64834,1.49588,2.11481,0.008812,0.008812,0.008812
14,836.862,1.42057,1.8122,1.70469,0.78005,0.5739,0.65351,0.36642,1.60145,1.45654,2.0758,0.008713,0.008713,0.008713
15,895.828,1.41762,1.78386,1.70721,0.74,0.57573,0.63302,0.35709,1.60321,1.52442,2.09422,0.008614,0.008614,0.008614
16,954.801,1.4069,1.75495,1.69568,0.76972,0.59884,0.66403,0.37794,1.5915,1.46794,2.05862,0.008515,0.008515,0.008515
17,1014.01,1.40493,1.73856,1.70121,0.74097,0.59902,0.64936,0.36744,1.60326,1.50053,2.07795,0.008416,0.008416,0.008416
18,1072.91,1.38969,1.68137,1.6816,0.75311,0.61047,0.6688,0.38058,1.583,1.38296,2.05112,0.008317,0.008317,0.008317
19,1131.88,1.38087,1.64948,1.67424,0.76532,0.64085,0.68496,0.38895,1.5721,1.35931,2.05654,0.008218,0.008218,0.008218
20,1191.03,1.37418,1.64419,1.66885,0.78173,0.63284,0.6935,0.39694,1.56043,1.36592,2.03913,0.008119,0.008119,0.008119
21,1249.93,1.36092,1.6068,1.66358,0.74967,0.65499,0.7019,0.40347,1.5507,1.28314,2.02297,0.00802,0.00802,0.00802
22,1308.91,1.36839,1.58268,1.66809,0.78787,0.65604,0.70775,0.40461,1.58213,1.26742,2.04625,0.007921,0.007921,0.007921
23,1367.9,1.35039,1.56114,1.65542,0.78767,0.64056,0.70161,0.40188,1.5534,1.29674,2.0202,0.007822,0.007822,0.007822
24,1427.02,1.34333,1.54345,1.64767,0.75357,0.65512,0.70811,0.42017,1.53108,1.25093,1.99126,0.007723,0.007723,0.007723
25,1485.92,1.35121,1.53941,1.64799,0.73517,0.65585,0.70833,0.41473,1.53591,1.25859,2.01159,0.007624,0.007624,0.007624
26,1544.75,1.34395,1.50296,1.63684,0.77007,0.6691,0.71767,0.42067,1.52543,1.2197,1.9784,0.007525,0.007525,0.007525
27,1603.78,1.32999,1.49264,1.63656,0.77395,0.67045,0.72971,0.42428,1.54332,1.18509,1.99893,0.007426,0.007426,0.007426
28,1662.68,1.33,1.48783,1.63411,0.78147,0.69203,0.73739,0.434,1.52329,1.20705,1.98862,0.007327,0.007327,0.007327
29,1721.62,1.32124,1.44099,1.6193,0.75572,0.68036,0.72589,0.41802,1.54453,1.19545,2.00346,0.007228,0.007228,0.007228
30,1780.64,1.32186,1.45189,1.62598,0.80494,0.6811,0.74151,0.43309,1.52498,1.166,1.99143,0.007129,0.007129,0.007129
31,1839.52,1.3112,1.42715,1.61527,0.80614,0.66335,0.72956,0.43054,1.52068,1.17462,1.99127,0.00703,0.00703,0.00703
32,1898.38,1.30577,1.40174,1.60789,0.78701,0.68168,0.7378,0.42692,1.53529,1.17143,1.99223,0.006931,0.006931,0.006931
33,1957.28,1.29094,1.39366,1.60277,0.77938,0.69259,0.74243,0.43488,1.50765,1.12684,1.95865,0.006832,0.006832,0.006832
34,2016.42,1.29825,1.38354,1.59872,0.83662,0.68556,0.74925,0.44145,1.52106,1.10203,1.96495,0.006733,0.006733,0.006733
35,2075.44,1.2922,1.36189,1.59133,0.82244,0.69516,0.75399,0.44634,1.50643,1.12145,1.97056,0.006634,0.006634,0.006634
36,2134.39,1.2847,1.35083,1.59019,0.8041,0.68411,0.75269,0.448,1.51743,1.10333,1.96541,0.006535,0.006535,0.006535
37,2193.52,1.28148,1.33273,1.59136,0.80914,0.70544,0.75636,0.44514,1.51025,1.10136,1.96354,0.006436,0.006436,0.006436
38,2252.4,1.27595,1.33087,1.58495,0.81311,0.69033,0.75049,0.45036,1.51128,1.10421,1.97139,0.006337,0.006337,0.006337
39,2311.28,1.27431,1.3103,1.5828,0.7966,0.69694,0.74355,0.44363,1.51479,1.09223,1.96676,0.006238,0.006238,0.006238
40,2370.36,1.27528,1.30245,1.58115,0.82587,0.69733,0.75966,0.45047,1.49623,1.07546,1.95598,0.006139,0.006139,0.006139
41,2429.23,1.26339,1.29067,1.5733,0.80104,0.7181,0.7537,0.4505,1.50481,1.07521,1.96863,0.00604,0.00604,0.00604
42,2488.16,1.26406,1.28958,1.57581,0.82225,0.70686,0.75952,0.45181,1.50665,1.06659,1.96444,0.005941,0.005941,0.005941
43,2547.11,1.2513,1.25801,1.56298,0.82193,0.69937,0.75406,0.44968,1.49845,1.06673,1.95375,0.005842,0.005842,0.005842
44,2606.14,1.24764,1.26049,1.56347,0.82096,0.7053,0.76631,0.45836,1.50266,1.06136,1.95385,0.005743,0.005743,0.005743
45,2665.1,1.23874,1.2559,1.5583,0.82987,0.70497,0.76454,0.45636,1.50549,1.05691,1.96386,0.005644,0.005644,0.005644
46,2724,1.24042,1.23324,1.55692,0.81825,0.70892,0.76305,0.45525,1.50066,1.05364,1.96415,0.005545,0.005545,0.005545
47,2783.12,1.22463,1.20901,1.5422,0.81751,0.71127,0.75776,0.44899,1.51286,1.04894,1.97737,0.005446,0.005446,0.005446
48,2842.05,1.23546,1.22039,1.54478,0.81363,0.71718,0.76269,0.44998,1.51905,1.04686,1.97245,0.005347,0.005347,0.005347
49,2900.99,1.22022,1.2125,1.54122,0.84536,0.70639,0.77041,0.45314,1.51711,1.03639,1.97921,0.005248,0.005248,0.005248
