split,class_id,class_name,instances
train,0,Ants,2231
train,1,Bees,1596
train,2,Beetles,1058
train,3,Caterpillars,1740
train,4,Earthworms,1083
train,5,Earwigs,1182
train,6,Grasshoppers,1071
train,7,Moths,1062
train,8,Slugs,918
train,9,Snails,1199
train,10,Wasps,1167
train,11,Weevils,975
valid,0,Ants,178
valid,1,Bees,110
valid,2,Beetles,100
valid,3,Caterpillars,139
valid,4,Earthworms,72
valid,5,Earwigs,104
valid,6,Grasshoppers,102
valid,7,Moths,101
valid,8,Slugs,91
valid,9,Snails,107
valid,10,Wasps,132
valid,11,Weevils,105
test,0,Ants,87
test,1,Bees,44
test,2,Beetles,44
test,3,Caterpillars,93
test,4,Earthworms,40
test,5,Earwigs,73
test,6,Grasshoppers,55
test,7,Moths,47
test,8,Slugs,51
test,9,Snails,50
test,10,Wasps,47
test,11,Weevils,58
